title,content,description,language,source,published_at,USD_TRY_impact,GAU_TRY_impact,BIST100_impact,BTC_TRY_impact
Turkish tourism industry bounces back strongly,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Bloomberg,2025-06-06 11:18:36.833391,-2.0328813199663904,0.678248343529088,2.6227571867492627,1.04449073363766
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-06-12 14:15:36.833391,-0.5811968763178661,1.1931261981638688,1.0352323458464165,1.9453943341148816
Currency volatility increases amid political uncertainty,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,tr,Anadolu Agency,2025-05-30 02:12:36.833391,-0.9029709443417141,1.2042090552814497,0.5069963325161717,1.87702128113846
Turkish exports reach all-time high in quarterly results,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-12 13:53:36.833391,-2.9153846247467876,0.3617469297993535,3.3677843615861995,1.6090609737313815
Turkish manufacturing sector expands for third consecutive month,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-07 14:50:36.833391,0.5437649626684397,-0.23990592783406525,-0.22220549276174065,0.40168456068803965
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Anadolu Agency,2025-06-02 10:51:36.833391,-0.3728512231348113,2.118679004933477,0.5738496333269698,0.8898630310461965
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Haberturk,2025-06-02 17:11:36.833391,-1.9549695068305335,1.140156375530093,3.8972149657491304,1.833222892493719
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-30 20:56:36.833391,-1.0746339352996555,0.31518118786583,0.7126668269793358,1.1279294378794846
Currency volatility increases amid political uncertainty,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-05-28 18:05:36.833391,-0.4584667198353999,0.7342765939617661,0.5959619446430771,0.09382455336223439
Turkish Central Bank raises interest rates to combat inflation,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-06-05 11:42:36.833391,0.2567426577135099,1.7554460493268347,-0.14322249350474528,0.13169331684496777
